scheme_name,government_level,state_or_ut,ministry_or_department,category,short_description,status_confidence,official_source_url,secondary_source_url,last_checked_date,age_min,age_max,gender,income_type,income_min,income_max,state_or_ut_requirement,domicile_requirement,district_requirement,social_category,occupation,employment_status,student_status,education_level,farmer_status,land_holding_requirement,disability_status,disability_percentage_min,marital_status,widow_status,bpl_status,rural_urban_requirement,minority_requirement,family_conditions,other_eligibility_conditions,benefit_type,benefit_summary,benefit_amount,application_method,official_application_url,confidence_notes
Khauti Anudan Yojana,STATE,Maharashtra,Tribal Development Department,tribal welfare|food/livelihood assistance,Assistance programme for eligible tribal households.,VERIFIED,https://mahadbt.maharashtra.gov.in/,,2026-09-19,,,,,,,Maharashtra,true,,ST,,,,,,,,,,,,,,,,Financial/in-kind assistance,State support for eligible tribal households.,,,,Current MahaDBT landing page lists the scheme; exact component rules vary.
Maharashtra Apprenticeship Promotion Scheme,STATE,Maharashtra,"Skills, Employment, Entrepreneurship & Innovation Department",skill development|employment,State programme to promote apprenticeships and support trainees/employers.,VERIFIED,https://mahadbt.maharashtra.gov.in/,,2026-09-19,,,,,,,Maharashtra,true,,,,APPRENTICE/TRAINEE,,,,,,,,,,,,,,Apprenticeship support,State support linked to apprenticeship participation.,,,,
Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna (EBC),STATE,Maharashtra,Higher & Technical Education Department,students|EBC|fee assistance,Fee assistance for eligible economically weaker/open-category students in approved higher education.,VERIFIED,https://mahadbt.maharashtra.gov.in/,,2026-09-19,,,,,,,Maharashtra,true,,,,,true,HIGHER EDUCATION,,,,,,,,,,,,Fee reimbursement,Tuition/exam fee support subject to scheme rules.,,,,
Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna,STATE,Maharashtra,Higher & Technical Education Department,students|hostel|financial assistance,"Hostel/maintenance allowance for eligible professional-course students, including specified farmer/labour families.",VERIFIED,https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A3D30C2CB15631E4E31F4E2AFF5E4258B33E89887D583052E,,2026-09-19,,,,,,,Maharashtra,true,,,,,true,PROFESSIONAL HIGHER EDUCATION,,,,,,,,,,,Includes specified marginal-farmer or registered-labour parent categories and other course/institution rules.,Hostel/maintenance allowance,Food and residence allowance varying by study location.,,,,
State Minority Scholarship Part II,STATE,Maharashtra,Minority Development Department / Higher Education,students|minority welfare|scholarship,State scholarship for eligible minority students in higher education.,VERIFIED,https://mahadbt.maharashtra.gov.in/,,2026-09-19,,,,,,,Maharashtra,true,,,,,true,HIGHER EDUCATION,,,,,,,,,true,,,Scholarship,State-funded higher-education scholarship for eligible minority students.,,,,
Vahli Dikri Yojana,STATE,Gujarat,Women & Child Development Department,girls|children|education,Lifecycle financial support for eligible girl children.,VERIFIED,https://wcd.gujarat.gov.in/initiative,,2026-09-19,,,FEMALE,,,,Gujarat,true,,,,,,,,,,,,,,,,,,Lifecycle financial assistance,Milestone-based support for eligible girls.,,WCD/local process,,
Ganga Swarupa Financial Aid Scheme,STATE,Gujarat,Women & Child Development Department,widows|pension|financial assistance,Recurring financial assistance for eligible widowed women.,VERIFIED,https://wcd.gujarat.gov.in/posts?id=328,,2026-09-19,,,FEMALE,FAMILY_ANNUAL,,,Gujarat,true,,,,,,,,,,,,true,,,,,Official page states rural and urban income ceilings differ.,Monthly financial assistance,Regular financial aid to eligible widows.,"₹1,250 per month",,,
Ganga Swarupa Punah Lagna Arthik Sahay Scheme,STATE,Gujarat,Women & Child Development Department,widows|remarriage|financial assistance,Financial support to encourage remarriage and rehabilitation of widowed women.,VERIFIED,https://wcd.gujarat.gov.in/initiativedetails?id=234,,2026-09-19,,,FEMALE,,,,Gujarat,true,,,,,,,,,,,REMARRIAGE,true,,,,,,Remarriage assistance,One-time/structured support for eligible remarriage.,,,,
Mukhyamantri Matrushakti Yojana,STATE,Gujarat,Women & Child Development Department,maternity|nutrition|women,Nutrition support for eligible pregnant/lactating women under the state programme.,VERIFIED,https://wcd.gujarat.gov.in/initiative,,2026-09-19,,,FEMALE,,,,Gujarat,true,,,,,,,,,,,,,,,,,Pregnancy/lactation and programme registration conditions apply.,Nutrition assistance,State nutrition support for eligible mothers.,,,,
Poshan Sudha,STATE,Gujarat,Women & Child Development Department,nutrition|women|children,Targeted nutrition support in notified areas/groups.,VERIFIED,https://wcd.gujarat.gov.in/initiative,,2026-09-19,,,,,,,Gujarat,true,,,,,,,,,,,,,,,,,,Nutrition support,Supplementary nutrition under state WCD programme.,,,,
PURNA Scheme,STATE,Gujarat,Women & Child Development Department,adolescent girls|nutrition|empowerment,"Adolescent-girl nutrition, health and empowerment programme.",VERIFIED,https://wcd.gujarat.gov.in/initiative,,2026-09-19,,,FEMALE,,,,Gujarat,true,,,,,,,,,,,,,,,,,,Nutrition|life-skills support,"Nutrition, health awareness and empowerment interventions.",,,,
Doodh Sanjivani Scheme,STATE,Gujarat,Women & Child Development Department,children|nutrition,Milk/nutrition support for eligible children under state WCD programme.,VERIFIED,https://wcd.gujarat.gov.in/initiative,,2026-09-19,,,,,,,Gujarat,true,,,,,,,,,,,,,,,,,,Nutrition support,Milk/nutrition assistance for eligible children.,,,,
Mahila Swavlamban Scheme,STATE,Gujarat,Women & Child Development Department,women|self-employment|livelihood,Financial/self-employment support for eligible women.,VERIFIED,https://wcd.gujarat.gov.in/initiative,,2026-09-19,,,FEMALE,,,,Gujarat,true,,,,ASPIRING SELF-EMPLOYED,,,,,,,,,,,,,,Loan/enterprise assistance,Support for women-led livelihood/self-employment.,,,,
Manav Garima Yojana,STATE,Gujarat,Social Justice & Empowerment Department,SC/OBC welfare|self-employment|livelihood,Tool-kit/self-employment support for eligible disadvantaged beneficiaries.,VERIFIED,https://sje.gujarat.gov.in/dscw/Economic-Upliftment?lang=english,,2026-09-19,,,,,,,Gujarat,true,,,,SELF-EMPLOYMENT,,,,,,,,,,,,,,Tool-kit/livelihood assistance,Occupational tool-kit/support for eligible beneficiaries.,,,,
Kunvarbai Nu Mameru Scheme,STATE,Gujarat,Social Justice & Empowerment Department,marriage assistance|SC/OBC welfare|women,Marriage assistance for eligible women from notified social categories.,VERIFIED,https://sje.gujarat.gov.in/schemes?lang=english,,2026-09-19,,,FEMALE,,,,Gujarat,true,,,,,,,,,,,ELIGIBLE FOR MARRIAGE,,,,,,,Marriage assistance,Financial assistance for qualifying marriages.,,,,
Mai Ramabai Ambedkar Sat Fera Samuh Lagna Yojana,STATE,Gujarat,Social Justice & Empowerment Department,mass marriage|social welfare,State assistance for eligible couples participating in approved mass-marriage events.,VERIFIED,https://sje.gujarat.gov.in/schemes?lang=english,,2026-09-19,,,,,,,Gujarat,true,,,,,,,,,,,ELIGIBLE FOR MARRIAGE,,,,,,,Marriage incentive,Assistance to eligible couples and approved organisers.,,,,
Sarasvati Sadhana Yojana (Free Cycle to SC Girls),STATE,Gujarat,"Director, Scheduled Caste Welfare",students|girls|SC welfare|mobility,Free bicycle support for eligible SC girl students.,VERIFIED,https://sje.gujarat.gov.in/dscw/Sitemap?lang=english,,2026-09-19,,,FEMALE,,,,Gujarat,true,,SC,,,true,CLASS 9,,,,,,,,,,,,Bicycle,Free cycle for eligible girl students.,,,,
State Post-SSC Scholarship to SC Girls,STATE,Gujarat,"Director, Scheduled Caste Welfare",students|SC welfare|scholarship,State scholarship for eligible SC girl students after SSC under the state category.,VERIFIED,https://sje.gujarat.gov.in/assets/downloads/notification_sje1_250522.pdf,,2026-09-19,,,FEMALE,,,,Gujarat,true,,SC,,,true,POST-SSC,,,,,,,,,,,,Scholarship,State-funded post-SSC scholarship for eligible SC girls.,,,,
Divyang Free ST Bus Travel Scheme,STATE,Gujarat,"Director, Social Defense",disability|transport,Free state-transport bus travel for eligible persons with disabilities.,VERIFIED,https://sje.gujarat.gov.in/dsd/Disable-welfare?lang=English,,2026-09-19,,,,,,,Gujarat,true,,,,,,,,,true,,,,,,,,,Transport concession,Free eligible ST bus travel.,,,,
Divyang Sadhan Sahay Yojana,STATE,Gujarat,"Director, Social Defense",disability|assistive devices,Assistive-device support for eligible persons with disabilities.,VERIFIED,https://sje.gujarat.gov.in/dsd/Disable-welfare?lang=English,,2026-09-19,,,,,,,Gujarat,true,,,,,,,,,true,,,,,,,,,Assistive-device assistance,Support for approved disability aids/appliances.,,,,
Sant Surdas Yojana,STATE,Gujarat,"Director, Social Defense",disability|financial assistance,Financial support for eligible persons with disabilities under Gujarat social defence.,VERIFIED,https://sje.gujarat.gov.in/dsd/Disable-welfare?lang=English,,2026-09-19,,,,,,,Gujarat,true,,,,,,,,,true,,,,,,,,,Financial assistance,Recurring/approved financial support.,,,,
Divyang Lagna Sahay Yojana,STATE,Gujarat,"Director, Social Defense",disability|marriage assistance,Marriage assistance for eligible persons with disabilities.,VERIFIED,https://sje.gujarat.gov.in/dsd/Disable-welfare?lang=English,,2026-09-19,,,,,,,Gujarat,true,,,,,,,,,true,,MARRIED/ELIGIBLE,,,,,,,Marriage assistance,Financial incentive/support for qualifying marriage.,,,,
Niradhar Vrudh State Financial Assistance Scheme,STATE,Gujarat,"Director, Social Defense",senior citizens|pension,State financial assistance for eligible destitute elderly residents.,VERIFIED,https://sje.gujarat.gov.in/schemes?lang=english,,2026-09-19,,,,,,,Gujarat,true,,,,,,,,,,,,,,,,,,Pension/financial assistance,Recurring state support for eligible destitute elderly.,,,,
Smart & Precision Farming Assistance Scheme,STATE,Gujarat,"Agriculture, Farmers Welfare & Co-operation Department",farmers|agriculture|technology,Assistance for approved smart/precision-farming devices and components.,VERIFIED,https://ikhedut.gujarat.gov.in/Public/frm_Public_Contacts.aspx,,2026-09-19,,,,,,,Gujarat,true,,,,,,,true,,,,,,,,,,,Agriculture technology subsidy,Support for approved smart/precision-farming equipment.,,iKhedut,,
Grass/Fodder Production Unit Assistance Scheme,STATE,Gujarat,"Agriculture, Farmers Welfare & Co-operation Department",farmers|animal husbandry|fodder,State assistance for establishment of fodder/grass production units in rural areas.,VERIFIED,https://ikhedut.gujarat.gov.in/Public/frm_Public_Contacts.aspx,,2026-09-19,,,,,,,Gujarat,true,,,,,,,true,,,,,,,RURAL,,,,Agriculture/livestock infrastructure assistance,Support for eligible fodder production units.,,iKhedut,,
Sant Sohirobanath Ambiye Dnyanvruddhi Shishyavrutti (Bursary Scheme),STATE,Goa,Education Department,students|scholarship,State bursary support for eligible students.,VERIFIED,https://www.goa.gov.in/policy_downloads/bursary-scheme/,,2026-09-19,,,,,,,Goa,true,,,,,true,,,,,,,,,,,,,Scholarship,Bursary assistance for eligible students.,,,,
Mukhyamantri Samupadeshan Yojana,STATE,Goa,Education Department,students|counselling|education,State counselling/support programme in the education sector.,VERIFIED,https://www.goa.gov.in/government/schemes/,,2026-09-19,,,,,,,Goa,true,,,,,true,,,,,,,,,,,,,Counselling/support,Counselling and related educational support.,,,,
Interest Free Education Loan Scheme for Higher Education,STATE,Goa,Goa Education Development Corporation,students|higher education|education loan,Interest-free education loan support for eligible higher-education students.,VERIFIED,https://www.goa.gov.in/government/schemes/,,2026-09-19,,,,,,,Goa,true,,,,,true,HIGHER EDUCATION,,,,,,,,,,,,Education loan,Interest-free education financing.,,Online/state education corporation,,
Manohar Parrikar Goa Scholars Scheme 2025,STATE,Goa,Higher Education Department,students|merit|higher education,State support for high-performing students selected as Goa Scholars.,VERIFIED,https://www.goa.gov.in/government/schemes/,,2026-09-19,,,,,,,Goa,true,,,,,true,HIGHER EDUCATION,,,,,,,,,,,,Scholarship/academic support,Merit-based higher-education support.,,,,
Chief Minister's Kaushalya Path Scheme (CMKPS),STATE,Goa,Skill Development & Entrepreneurship Department,skill development|employment,Short-term skill and recognition-of-prior-learning programme.,VERIFIED,https://www.goa.gov.in/government/schemes/,,2026-09-19,,,,,,,Goa,true,,,,TRAINEE,,,,,,,,,,,,,,Skill training,Short-term training and RPL certification.,,,,
Gagan Bharari Shiksha Yojana - ST,STATE,Goa,Directorate of Tribal Welfare,students|ST welfare|education,State education support for eligible ST students.,VERIFIED,https://cmscholarship.goa.gov.in/SchemesDetails.aspx,,2026-09-19,,,,,,,Goa,true,,ST,,,true,,,,,,,,,,,,,Education assistance,State scholarship/education support for ST students.,,,,
Merit Based Scholarship Scheme - ST,STATE,Goa,Directorate of Tribal Welfare,students|ST welfare|merit,Merit-based award for eligible ST students.,VERIFIED,https://cmscholarship.goa.gov.in/SchemesDetails.aspx,,2026-09-19,,,,,,,Goa,true,,ST,,,true,,,,,,,,,,,,,Merit scholarship,Merit-linked scholarship/award.,,,,
Home Nursing Scholarship Scheme - ST,STATE,Goa,Directorate of Tribal Welfare,students|ST welfare|health education,Scholarship for eligible ST students pursuing home-nursing training.,VERIFIED,https://cmscholarship.goa.gov.in/SchemesDetails.aspx,,2026-09-19,,,,,,,Goa,true,,ST,,,true,HOME NURSING,,,,,,,,,,,,Scholarship,Education support for home-nursing studies.,,,,
Kanya Dhan Scheme - SC,STATE,Goa,Directorate of Social Welfare,girls|SC welfare|education,State assistance for eligible SC girl students.,VERIFIED,https://cmscholarship.goa.gov.in/SchemesDetails.aspx,,2026-09-19,,,FEMALE,,,,Goa,true,,SC,,,true,,,,,,,,,,,,,Education/financial assistance,State support under Kanya Dhan.,,,,
Saral Vidya Sahay Scheme - SC (V to VIII),STATE,Goa,Directorate of Social Welfare,students|SC welfare|school education,School education assistance for eligible SC students in classes V-VIII.,VERIFIED,https://cmscholarship.goa.gov.in/SchemesDetails.aspx,,2026-09-19,,,,,,,Goa,true,,SC,,,true,CLASS 5-8,,,,,,,,,,,,Education assistance,State school-level financial support.,,,,
Free Laptop Scheme ITG,STATE,Goa,"Department of Information Technology, Electronics & Communications",students|digital access,Free laptop support for eligible students under state IT programme.,VERIFIED,https://cmscholarship.goa.gov.in/SchemesDetails.aspx,,2026-09-19,,,,,,,Goa,true,,,,,true,,,,,,,,,,,,,Laptop/device,Laptop assistance to eligible students.,,,,
Stipend to Disabled Students,STATE,Goa,Department of Empowerment of Persons with Disabilities,students|disability|scholarship,Stipend for eligible students with disabilities.,VERIFIED,https://cmscholarship.goa.gov.in/SchemesDetails.aspx,,2026-09-19,,,,,,,Goa,true,,,,,true,,,,true,,,,,,,,,Stipend,Education stipend for students with disabilities.,,,,
Scholarship for Disabled Students,STATE,Goa,Department of Empowerment of Persons with Disabilities,students|disability|scholarship,Scholarship support for eligible students with disabilities.,VERIFIED,https://cmscholarship.goa.gov.in/SchemesDetails.aspx,,2026-09-19,,,,,,,Goa,true,,,,,true,,,,true,,,,,,,,,Scholarship,Education scholarship for disabled students.,,,,
Children of Widow Scheme,STATE,Goa,Chief Minister Welfare Portal / Social Welfare,children|widow families|social welfare,Financial welfare support for eligible children of widowed mothers.,VERIFIED,https://cmwelfare.goa.gov.in/,,2026-09-19,,,,,,,Goa,true,,,,,,,,,,,,,,,,Child of an eligible widow under portal rules.,,Financial assistance,Digitized state welfare assistance.,,,,
Dayanand Social Security Scheme,STATE,Goa,Directorate of Social Welfare,pension|social security,"State social-security assistance for eligible elderly, widows and persons with disabilities under scheme categories.",LIKELY_ACTIVE,https://www.goa.gov.in/government/schemes/,,2026-09-19,,,,,,,Goa,true,,,,,,,,,,,,,,,,,,Pension/social assistance,Recurring social-security assistance.,,,,Official Goa scheme page still lists the scheme; category-specific current rates should be refreshed.
Deen Dayal Swasthya Seva Yojana,STATE,Goa,Health Department,health|insurance,State health coverage programme for eligible Goa residents.,LIKELY_ACTIVE,https://www.goa.gov.in/government/schemes/,,2026-09-19,,,,,,,Goa,true,,,,,,,,,,,,,,,,,,Health coverage,Cashless/insured treatment benefits subject to programme rules.,,,,Official Goa scheme repository lists the programme; latest empanelment/coverage rules should be checked.
Atal Asra Yojana,STATE,Goa,Tribal Welfare / Social Welfare,housing|tribal welfare,Housing construction/reconstruction/repair assistance for eligible beneficiaries.,LIKELY_ACTIVE,https://www.goa.gov.in/government/schemes/,,2026-09-19,,,,,,,Goa,true,,,,,,,,,,,,,,,,,,Housing assistance,Financial support for eligible housing works.,,,,Official Goa scheme repository continues to publish the state scheme; detailed current ceiling needs review.
Assistance for Purchase of Agriculture Inputs Scheme,STATE,Goa,Directorate of Agriculture,farmers|agriculture|inputs,State assistance for eligible farmers purchasing approved agricultural inputs.,LIKELY_ACTIVE,https://www.goa.gov.in/government/schemes/,,2026-09-19,,,,,,,Goa,true,,,,,,,true,,,,,,,,,,,Input subsidy,Assistance for approved farm inputs.,,,,
Assistance for Community Farming and Promotion of Organic Farming Scheme,STATE,Goa,Directorate of Agriculture,farmers|organic farming|community farming,Support for group/community farming and organic agriculture.,LIKELY_ACTIVE,https://www.goa.gov.in/government/schemes/,,2026-09-19,,,,,,,Goa,true,,,,,,,true,,,,,,,,,,,Agriculture subsidy/support,Support for community and organic farming activities.,,,,
Shetkari Adhar Nidhi / Assistance for Fencing,STATE,Goa,Directorate of Agriculture,farmers|farm protection|financial assistance,State farmer support including fencing-related assistance under revised scheme provisions.,LIKELY_ACTIVE,https://www.goa.gov.in/government/schemes/,,2026-09-19,,,,,,,Goa,true,,,,,,,true,,,,,,,,,,,Farm protection assistance,Support for approved fencing/farmer-relief components.,,,,Official agriculture downloads retain revised scheme documents; exact currently-open component should be checked.
Mahtari Vandan Yojana,STATE,Chhattisgarh,Women & Child Development Department,women|financial assistance,Monthly financial assistance for eligible women in Chhattisgarh.,VERIFIED,https://jansampark.cg.gov.in/dprnewsportal/NewsDetails.aspx?param=h3j%2F5zb0qaeOaX9KjLO3kw%3D%3D&type=TQwAi5bC7eg%3D,,2026-09-19,,,FEMALE,,,,Chhattisgarh,true,,,,,,,,,,,,,,,,,,DBT cash assistance,Monthly support for eligible women.,"₹1,000 per month",Online/Anganwadi/local body,,
Krishak Unnati Yojana,STATE,Chhattisgarh,Agriculture Development & Farmer Welfare Department,farmers|agriculture|income support,State assistance intended to raise farm income and encourage crop diversification/investment.,VERIFIED,https://jansampark.cg.gov.in/,,2026-09-19,,,,,,,Chhattisgarh,true,,,FARMER,,,,true,,,,,,,,,,,Agricultural input/income assistance,State support tied to eligible crop/farmer registration conditions.,,,,
Mukhyamantri Kanya Vivah Yojana,STATE,Chhattisgarh,Women & Child Development Department,marriage assistance|women,Marriage support for eligible couples/women through state-supported marriage programmes.,VERIFIED,https://jansampark.cg.gov.in/dprnewsportal/NewsDetails.aspx?param=wGGTSxXTHjE32dZnzkOUTg%3D%3D&type=TQwAi5bC7eg%3D,,2026-09-19,18,,FEMALE,,,,Chhattisgarh,true,,,,,,,,,,,ELIGIBLE FOR MARRIAGE,,,,,,,Marriage assistance,State financial/in-kind support for qualifying marriage.,,,,
Mukhyamantri SC/ST Vidyarthi Utkarsh Yojana,STATE,Chhattisgarh,Tribal & Scheduled Caste Development Department,students|SC/ST welfare|education,Residential/quality-school education opportunity for selected SC/ST students.,VERIFIED,https://tribal.cg.gov.in/node/2829,,2026-09-19,,,,,,,Chhattisgarh,true,,SC|ST,,,true,,,,,,,,,,,,,Education support,Admission/support in selected quality educational institutions.,,,,
Mukhyamantri Bal Bhavishya Suraksha Yojana (Prayas),STATE,Chhattisgarh,Tribal & Scheduled Caste Development Department,students|residential education|SC/ST welfare,Residential education and competitive preparation support through Prayas schools.,VERIFIED,https://tribal.cg.gov.in/,,2026-09-19,,,,,,,Chhattisgarh,true,,,,,true,,,,,,,,,,,,,Residential education,"Schooling, hostel and academic support.",,,,
Rajiv Yuva Utthan Yojana,STATE,Chhattisgarh,Tribal & Scheduled Caste Development Department,competitive exams|SC/ST/OBC welfare|coaching,Coaching/preparation support for eligible youth for competitive examinations.,VERIFIED,https://tribal.cg.gov.in/,,2026-09-19,,,,,,,Chhattisgarh,true,,,,,COMPETITIVE EXAM CANDIDATE,,,,,,,,,,,,,Coaching support,State-supported competitive exam coaching.,,,,
Civil Services Protsahan Yojana,STATE,Chhattisgarh,Tribal & Scheduled Caste Development Department,competitive exams|financial assistance,Incentive/support for eligible reserved-category civil-services aspirants.,VERIFIED,https://www.tribal.cg.gov.in/civil-services-incentive-scheme-rules,,2026-09-19,,,,,,,Chhattisgarh,true,,,,,COMPETITIVE EXAM CANDIDATE,,,,,,,,,,,,,Exam incentive,Financial incentive linked to civil-services examination stages.,,,,
Yuva Career Nirman Yojana,STATE,Chhattisgarh,Tribal & Scheduled Caste Development Department,youth|career training,Career-development support for eligible youth from target communities.,VERIFIED,https://tribal.cg.gov.in/various-departmental-plans,,2026-09-19,,,,,,,Chhattisgarh,true,,,,YOUTH,,,,,,,,,,,,,,Training/career support,Career-oriented training/support.,,,,
Chief Minister Employment Generation Programme,STATE,Chhattisgarh,Rural Industry Department,entrepreneurship|self-employment|rural industry,State enterprise finance programme for eligible residents starting rural/micro enterprises.,VERIFIED,https://uat-ed.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=337,,2026-09-19,,,,,,,Chhattisgarh,true,,,,ASPIRING ENTREPRENEUR,,,,,,,,,,,,,,Enterprise loan/subsidy,Credit-linked assistance for eligible projects.,,Sewa Setu/Lok Seva Kendra,,
Minimata Mahtari Jatan Yojana,STATE,Chhattisgarh,Labour Department / BOCW Board,labour|maternity,Maternity assistance for eligible registered construction workers/families.,VERIFIED,https://jansampark.cg.gov.in/dprnewsportal/NewsDetails.aspx?param=iNCmSbtmIoc%3D&type=TQwAi5bC7eg%3D,,2026-09-19,,,,,,,Chhattisgarh,true,,,REGISTERED CONSTRUCTION WORKER,,,,,,,,,,,,,,,Maternity assistance,Financial maternity support.,,,,
Mukhyamantri Cycle Sahayata Yojana (Construction Workers),STATE,Chhattisgarh,Labour Department / BOCW Board,labour|mobility,Bicycle assistance for eligible registered construction workers.,VERIFIED,https://jansampark.cg.gov.in/dprnewsportal/NewsDetails.aspx?param=iNCmSbtmIoc%3D&type=TQwAi5bC7eg%3D,,2026-09-19,,,,,,,Chhattisgarh,true,,,REGISTERED CONSTRUCTION WORKER,,,,,,,,,,,,,,,Bicycle assistance,Cycle support for eligible workers.,,,,
Mukhyamantri Shramik Auzar Sahayata Yojana,STATE,Chhattisgarh,Labour Department / BOCW Board,labour|tools|livelihood,Tool assistance for eligible registered workers.,VERIFIED,https://jansampark.cg.gov.in/dprnewsportal/NewsDetails.aspx?param=iNCmSbtmIoc%3D&type=TQwAi5bC7eg%3D,,2026-09-19,,,,,,,Chhattisgarh,true,,,REGISTERED CONSTRUCTION WORKER,,,,,,,,,,,,,,,Tool assistance,Tools/equipment support for work.,,,,
Mukhyamantri Silai Machine Sahayata Yojana,STATE,Chhattisgarh,Labour Department / BOCW Board,labour|women|self-employment,Sewing-machine assistance for eligible worker households/beneficiaries.,VERIFIED,https://jansampark.cg.gov.in/dprnewsportal/NewsDetails.aspx?param=iNCmSbtmIoc%3D&type=TQwAi5bC7eg%3D,,2026-09-19,,,,,,,Chhattisgarh,true,,,,,,,,,,,,,,,,,,Equipment assistance,Sewing machine support for eligible beneficiaries.,,,,
Mukhyamantri Naunihal Chhatravritti Yojana,STATE,Chhattisgarh,Labour Department / BOCW Board,labour|students|scholarship,Education scholarship for children of eligible registered construction workers.,VERIFIED,https://jansampark.cg.gov.in/dprnewsportal/NewsDetails.aspx?param=iNCmSbtmIoc%3D&type=TQwAi5bC7eg%3D,,2026-09-19,,,,,,,Chhattisgarh,true,,,REGISTERED CONSTRUCTION WORKER/DEPENDENT,,true,,,,,,,,,,,,,Scholarship,Education assistance for workers' children.,,,,
Mukhyamantri Noni Babu Medhavi Shiksha Sahayata Yojana,STATE,Chhattisgarh,Labour Department / BOCW Board,labour|students|merit,Merit-linked education support for children of eligible workers.,VERIFIED,https://jansampark.cg.gov.in/dprnewsportal/NewsDetails.aspx?param=iNCmSbtmIoc%3D&type=TQwAi5bC7eg%3D,,2026-09-19,,,,,,,Chhattisgarh,true,,,REGISTERED CONSTRUCTION WORKER/DEPENDENT,,true,,,,,,,,,,,,,Merit education assistance,Financial support for meritorious children of workers.,,,,
Mukhyamantri Nirman Mazdoor Suraksha Upkaran Sahayata Yojana,STATE,Chhattisgarh,Labour Department / BOCW Board,labour|safety equipment,Safety-equipment assistance for registered construction workers.,VERIFIED,https://jansampark.cg.gov.in/dprnewsportal/NewsDetails.aspx?param=iNCmSbtmIoc%3D&type=TQwAi5bC7eg%3D,,2026-09-19,,,,,,,Chhattisgarh,true,,,REGISTERED CONSTRUCTION WORKER,,,,,,,,,,,,,,,Safety equipment,Approved protective/safety equipment support.,,,,
Mukhyamantri Nirman Shramik Mrityu Evam Divyang Sahayata Yojana,STATE,Chhattisgarh,Labour Department / BOCW Board,labour|death assistance|disability,Death and disability assistance for registered construction workers/families.,VERIFIED,https://jansampark.cg.gov.in/dprnewsportal/NewsPopup.aspx?param=IALHsVr4XsiH%2F9lTydNbNQ%3D%3D&type=TQwAi5bC7eg%3D,,2026-09-19,,,,,,,Chhattisgarh,true,,,REGISTERED CONSTRUCTION WORKER,,,,,,,,,,,,,,,Death/disability assistance,Financial support after qualifying death/disability event.,,,,
Mukhyamantri Noni Sashaktikaran Sahayata Yojana,STATE,Chhattisgarh,Labour Department / BOCW Board,labour|girls|financial assistance,Financial empowerment assistance for eligible daughters of construction-worker families.,VERIFIED,https://jansampark.cg.gov.in/dprnewsportal/NewsDetails.aspx?param=iNCmSbtmIoc%3D&type=TQwAi5bC7eg%3D,,2026-09-19,,,FEMALE,,,,Chhattisgarh,true,,,REGISTERED CONSTRUCTION WORKER/DEPENDENT,,,,,,,,,,,,,,,Financial assistance,Support for eligible daughters of worker families.,,,,
Mukhyamantri Shramik Siyan Sahayata Yojana,STATE,Chhattisgarh,Labour Department / BOCW Board,labour|senior workers|financial assistance,Assistance for eligible older/retired-age construction workers.,VERIFIED,https://jansampark.cg.gov.in/dprnewsportal/NewsDetails.aspx?param=iNCmSbtmIoc%3D&type=TQwAi5bC7eg%3D,,2026-09-19,,,,,,,Chhattisgarh,true,,,REGISTERED CONSTRUCTION WORKER,,,,,,,,,,,,,,,Financial assistance,Support for eligible senior workers.,,,,
Mukhyamantri Nirman Shramik Awas Sahayata Yojana,STATE,Chhattisgarh,Labour Department / BOCW Board,labour|housing,Housing assistance for eligible registered construction workers.,VERIFIED,https://jansampark.cg.gov.in/dprnewsportal/NewsDetails.aspx?param=iNCmSbtmIoc%3D&type=TQwAi5bC7eg%3D,,2026-09-19,,,,,,,Chhattisgarh,true,,,REGISTERED CONSTRUCTION WORKER,,,,,,,,,,,,,,,Housing assistance,Financial support for eligible worker housing.,,,,
Jharkhand Mukhyamantri Maiya Samman Yojana,STATE,Jharkhand,"Women, Child Development & Social Security Department",women|financial assistance,State income-support programme for eligible women.,VERIFIED,https://www.jharkhand.gov.in/?t=1444306470000&version=1.0,,2026-09-19,,,FEMALE,,,,Jharkhand,true,,,,,,,,,,,,,,,,,,DBT cash assistance,Recurring financial support to eligible women.,,State portal/local camps,,
Savitribai Phule Kishori Samriddhi Yojana,STATE,Jharkhand,"Women, Child Development & Social Security Department",girls|students|education,Milestone-based education and empowerment assistance for girls from class 8 through age 18-19.,VERIFIED,https://savitribaipksy.jharkhand.gov.in/about,,2026-09-19,,,FEMALE,,,,Jharkhand,true,,,,,true,CLASS 8-12 / AGE 18-19,,,,,,,,,,,,Education/lifecycle cash assistance,Class-wise grants plus age-18/19 one-time assistance.,"₹2,500–₹20,000 by stage",Online,https://savitribaipksy.jharkhand.gov.in/,
