scheme_name,government_level,state_or_ut,ministry_or_department,category,short_description,status_confidence,official_source_url,secondary_source_url,last_checked_date,age_min,age_max,gender,income_type,income_min,income_max,state_or_ut_requirement,domicile_requirement,district_requirement,social_category,occupation,employment_status,student_status,education_level,farmer_status,land_holding_requirement,disability_status,disability_percentage_min,marital_status,widow_status,bpl_status,rural_urban_requirement,minority_requirement,family_conditions,other_eligibility_conditions,benefit_type,benefit_summary,benefit_amount,application_method,official_application_url,confidence_notes
PM VIKAS (Pradhan Mantri Virasat Ka Samvardhan),CENTRAL,All India,Ministry of Minority Affairs,Minority Welfare,"Integrated skilling, entrepreneurship, education and leadership support for notified minority communities and limited EWS participation.",VERIFIED,https://pmvikas.minorityaffairs.gov.in/page/eligibility-criteria-for-beneficiaries,,2026-09-19,14,45,ANY,,,,,,,,,,,,,,,,,,,,,,"Primary target is Indian nationals from notified minority communities (Muslim, Christian, Sikh, Buddhist, Jain and Parsi), preferably EWS. Training/education components generally target age 14-45; entrepreneurship/leadership components generally 18-45. Limited non-minority EWS seats may be permitted.",Skill Development / Entrepreneurship / Education Support,"Component-specific skilling, entrepreneurship, education and leadership development support.",Varies by component,Register/apply through PM VIKAS implementation/training channels when batches/programmes are announced.,https://pmvikas.minorityaffairs.gov.in/,Official PM VIKAS eligibility page used. Minority-community status is not encoded as a mandatory boolean because current rules allow limited non-minority EWS participation.
Pradhan Mantri Awaas Yojana - Gramin (PMAY-G),CENTRAL,All India,Ministry of Rural Development,Housing,"Housing assistance for eligible rural households lacking adequate pucca housing, identified through deprivation/exclusion and survey/Gram Sabha processes.",VERIFIED,https://pmayg.nic.in/,,2026-09-19,,,ANY,,,,,,,,,,,,,,,,,,,RURAL,,Household should lack adequate pucca housing and pass current exclusion/deprivation criteria.,"Eligibility is survey/list based, with automatic exclusion/deprivation filters and Gram Sabha verification; not well represented by one income threshold.",Housing Assistance,Financial assistance and convergence support for construction of a pucca rural house with basic amenities.,Assistance varies by area/category and convergence benefits,Beneficiaries are identified/verified through official rural housing survey/SECC/Awaas+ and Gram Sabha processes; implementation via State/UT PMAY-G.,https://pmayg.nic.in/,Government approved continuation for FY 2024-25 to 2028-29; current PMAY-G portal used.
Pradhan Mantri Awas Yojana - Urban 2.0 (PMAY-U 2.0),CENTRAL,All India,Ministry of Housing & Urban Affairs,Housing,Affordable urban housing support for eligible EWS/LIG/MIG families without a pucca house.,VERIFIED,https://pmay-urban.gov.in/uploads/guidelines/Operational-Guidelines-of-PMAY-U-2.pdf,,2026-09-19,,,ANY,HOUSEHOLD_ANNUAL,,900000,,,,,,,,,,,,,,,,URBAN,,Family must not own a pucca house anywhere in India and must not have received a house under a Central/State/UT/local housing scheme in the previous 20 years.,"Urban EWS/LIG/MIG household. Income bands: EWS up to ₹3 lakh, LIG >₹3-6 lakh, MIG >₹6-9 lakh; States/UTs may redefine EWS income with Ministry concurrence.",Housing Assistance / Interest Subsidy,"Support through BLC, AHP, affordable rental housing and interest-subsidy verticals, depending on beneficiary category.",Vertical-specific; interest subsidy under ISS up to the scheme ceiling,Apply online through PMAY-U 2.0 portal/ULB or participating lending institution depending on vertical.,https://pmaymis.gov.in/PMAYMIS2_2024/PmayDefault.aspx,Current PMAY-U 2.0 operational guidelines used.
Pradhan Mantri Ujjwala Yojana 2.0 (PMUY),CENTRAL,All India,Ministry of Petroleum & Natural Gas,Women,Security-deposit-free LPG connection for an adult woman from an eligible poor household without an existing household LPG connection.,VERIFIED,https://www.pmuy.gov.in/ujjwala2.html,,2026-09-19,18,,FEMALE,,,,,,,,,,,,,,,,,,,,,No LPG connection from any OMC should exist in the same household.,Adult woman must belong to a poor household based on prescribed deprivation declaration/category documentation.,LPG Connection / In-kind Support,Security-deposit-free LPG connection with prescribed connection equipment; current PMUY FAQ also lists free first refill(s) and two-burner stove.,In-kind connection package,"Apply online or submit application to an LPG distributor of choice with KYC, family-composition and deprivation documents.",https://www.pmuy.gov.in/ujjwala2.html,Official PMUY portal and FAQ are current in 2026.
PM Surya Ghar: Muft Bijli Yojana,CENTRAL,All India,Ministry of New and Renewable Energy,Financial Assistance,Residential rooftop-solar subsidy programme for eligible households with suitable roof and electricity connection.,VERIFIED,https://pmsuryaghar.gov.in/,,2026-09-19,,,ANY,,,,,,,,,,,,,,,,,,,,,Applicant/household should own the residential house/roof used for installation.,Indian citizen with suitable rooftop and valid electricity connection; household should not have already availed another rooftop-solar subsidy for the same installation.,Capital Subsidy / Rooftop Solar,"Central financial assistance for residential rooftop solar systems, credited after installation/verification under portal workflow.","₹30,000 for 1 kW; ₹60,000 for 2 kW; ₹78,000 for 3 kW or more under standard subsidy structure","Register on National Portal, apply with electricity-connection details, select vendor, install, inspect and claim subsidy.",https://pmsuryaghar.gov.in/,Official national portal/current Government programme terms used.
Swachh Bharat Mission - Grameen Phase II (Individual Household Latrine incentive),CENTRAL,All India,"Department of Drinking Water & Sanitation, Ministry of Jal Shakti",Sanitation,Rural sanitation programme including incentive for new eligible households to construct individual household latrines.,VERIFIED,https://swachhbharatmission.ddws.gov.in/faq,,2026-09-19,,,ANY,,,,,,,,,,,,,,,,,,,RURAL,,,"New eligible rural households include BPL households and specified APL vulnerable categories such as SC/ST, small/marginal farmers, landless labourers with homestead, households with a person with disability, and women-headed households.",Sanitation Incentive,Incentive support for construction/use of eligible individual household latrines under SBM-G norms.,"₹12,000 per eligible household for IHHL",Apply/verify through Gram Panchayat/block/district sanitation system or State SBM-G process.,https://swachhbharatmission.ddws.gov.in/,"Because eligibility is BPL OR one of several APL vulnerability categories, no single bpl_status rule is emitted."
Pradhan Mantri Garib Kalyan Anna Yojana / Free Food Grains under NFSA,CENTRAL,All India,Department of Food & Public Distribution,Food Security,"Free food-grain entitlement for beneficiaries covered under the National Food Security Act, continued for five years from January 2024.",VERIFIED,https://dfpd.gov.in/allocation-of-food-grains/en,,2026-09-19,,,ANY,,,,,,,,,,,,,,,,,,,,,Household/person must be included as an NFSA AAY or PHH beneficiary by the competent State/UT authority.,NFSA identification criteria and beneficiary ceilings are State/UT administered; not reducible to a single national income rule.,Food Assistance,Free food grains for Antyodaya Anna Yojana and Priority Household beneficiaries identified by States/UTs under NFSA.,AAY: 35 kg/household/month; PHH: 5 kg/person/month,Benefit delivered through ration card/Fair Price Shop system; inclusion and ration-card application handled by State/UT food departments.,https://nfsa.gov.in/,Official DFPD allocation page confirms continuation of free grains for five years from 1 January 2024.
Jal Jeevan Mission (JJM),CENTRAL,All India,"Department of Drinking Water & Sanitation, Ministry of Jal Shakti",Rural Development,Mission to provide functional household tap connections and reliable drinking-water service to rural households.,VERIFIED,https://jaljeevanmission.gov.in/,,2026-09-19,,,ANY,,,,,,,,,,,,,,,,,,,RURAL,,Rural household not yet adequately covered by the local piped-water scheme is prioritized according to implementation planning.,Service availability depends on village scheme completion and State/UT implementation; not an individual cash-benefit application.,Public Service / Drinking Water Connection,Functional household tap-water service through village water-supply systems and community management.,Non-cash public service,Coverage is planned/implemented through State/UT PHE/Rural Water Supply departments and Gram Panchayat/VWSC mechanisms.,https://jaljeevanmission.gov.in/,JJM site publishes 2026 guidelines/mission material.
SVAMITVA Scheme,CENTRAL,All India,Ministry of Panchayati Raj,Rural Development,Drone-survey and property-card programme for property holders in rural inhabited ('abadi') areas.,VERIFIED,https://svamitva.nic.in/,,2026-09-19,,,ANY,,,,,,,,,,,,,,,,,,,RURAL,,,Property must lie in a village/abadi area covered by the SVAMITVA survey programme; ownership/claim verification follows State revenue process.,Property Record / Public Service,Survey-based rural property records/property cards intended to improve ownership clarity and access to formal services/credit.,Non-cash public service,Village-level implementation through State revenue/Panchayati Raj departments; property holders participate in survey/claim/objection process.,https://svamitva.nic.in/,Official SVAMITVA portal and Ministry of Panchayati Raj programme page used.
Viksit Bharat - Guarantee for Rozgar and Ajeevika Mission (Gramin) (VB-G RAM G),CENTRAL,All India,Ministry of Rural Development,Employment,Statutory rural wage-employment guarantee framework effective nationwide from 1 July 2026.,VERIFIED,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2290638&lang=1&reg=6,,2026-09-19,18,,ANY,,,,,,,,,Seeking unskilled manual wage work,,,,,,,,,,RURAL,,Entitlement is household-based; adult household members volunteer for unskilled manual work.,Rural household with adult member(s) willing to undertake unskilled manual work; State/UT schemes implement the central Act.,Wage Employment Guarantee,"Guaranteed unskilled wage employment on demand to eligible rural households, with unemployment-allowance provisions under the Act/schemes.",Up to 125 days of guaranteed wage employment per eligible rural household per financial year; wage rate varies,Demand work/register through Gram Panchayat/local rural employment system; existing valid job cards transition under notified rules.,https://nrega.nic.in/,Official Ministry/PIB releases state that the Act came into force nationwide on 1 July 2026 and States/UTs notified implementing schemes. Application portal transition may still reuse legacy rural-employment systems.
